city,street,housenumber,apartmentnumber
Petah Tikva,Ben Gurion,9,0
Nazareth,Dizengoff,4,10
Herzliya,HaYarkon,14,0
Rishon LeZion,Eshkol,18,5
Kfar Saba,King George,12,1
Kfar Saba,Begin,16,1
Nazareth,Bialik,12,5
Rishon LeZion,Arlozorov,11,3
Petah Tikva,Rabin,14,5
Rehovot,Rothschild,10,4
Modiin,King George,1,0
Herzliya,Jabotinsky,18,9
Ashdod,Allenby,9,6
Jerusalem,Arlozorov,4,4
Rehovot,King George,19,4
Nazareth,Dizengoff,20,4
Tel Aviv,Dizengoff,15,8
Bnei Brak,Begin,10,1
Haifa,Jabotinsky,11,2
Jerusalem,Rabin,20,7
Beer Sheva,Eshkol,14,1
Tel Aviv,Ben Gurion,14,4
Ramat Gan,Herzl,20,1
Ashdod,Sokolov,2,9
Tel Aviv,Rothschild,6,3
Rehovot,Rabin,6,1
Netanya,Begin,3,2
Haifa,Ben Gurion,20,3
Kfar Saba,Begin,16,2
Rishon LeZion,Herzl,16,3
Bnei Brak,Rothschild,3,0
Rishon LeZion,Bialik,4,8
Petah Tikva,Allenby,6,7
Petah Tikva,Bialik,7,5
Haifa,Dizengoff,7,5
Ashdod,HaYarkon,2,2
Rehovot,HaYarkon,20,6
Jerusalem,Arlozorov,13,3
Bnei Brak,Bialik,16,2
Jerusalem,Jabotinsky,14,4
Ashkelon,Arlozorov,9,6
Jerusalem,Herzl,6,4
Modiin,Sokolov,20,9
Herzliya,Dizengoff,3,0
Rishon LeZion,HaYarkon,1,10
Kfar Saba,Begin,4,5
Modiin,Begin,8,10
Tel Aviv,Rothschild,9,1
Netanya,Rabin,2,2
Kfar Saba,Sokolov,18,1
Kfar Saba,Allenby,10,9
Rehovot,Dizengoff,14,5
Netanya,Jabotinsky,9,3
Rishon LeZion,Rabin,1,1
Ashkelon,Jabotinsky,6,1
Petah Tikva,Herzl,9,10
Beer Sheva,Bialik,20,6
Rishon LeZion,HaYarkon,9,4
Ashkelon,Jabotinsky,10,10
Bnei Brak,Rabin,19,5
Tel Aviv,King George,4,1
Beer Sheva,Herzl,16,2
Petah Tikva,Rothschild,9,0
Rehovot,Herzl,7,3
Jerusalem,Arlozorov,13,8
Jerusalem,Jabotinsky,12,7
Nazareth,Eshkol,4,8
Modiin,Arlozorov,1,0
Modiin,Bialik,4,5
Netanya,Allenby,6,1
Ashkelon,Arlozorov,10,8
Tel Aviv,Dizengoff,10,0
Tel Aviv,Rabin,13,3
Kfar Saba,Dizengoff,7,3
Herzliya,Jabotinsky,15,8
Rishon LeZion,Rabin,12,7
Rishon LeZion,Jabotinsky,3,7
Ashdod,King George,14,1
Ashkelon,King George,6,7
Herzliya,King George,10,3
Beer Sheva,Allenby,3,3
Nazareth,HaYarkon,17,9
Ramat Gan,Bialik,12,0
Modiin,Begin,3,6
Herzliya,King George,15,1
Rehovot,Allenby,11,8
Ramat Gan,Sokolov,12,0
Petah Tikva,Dizengoff,15,8
Rishon LeZion,Allenby,2,10
Rishon LeZion,HaYarkon,10,6
Bnei Brak,Begin,1,2
Haifa,King George,17,9
Ramat Gan,Begin,14,4
Ashkelon,Jabotinsky,11,4
Modiin,Rabin,15,1
Herzliya,Allenby,5,2
Tel Aviv,Dizengoff,9,9
Netanya,Arlozorov,6,4
Netanya,King George,9,10
Petah Tikva,Dizengoff,12,9
Ashdod,Arlozorov,5,1
Kfar Saba,Sokolov,12,0
Ashkelon,Dizengoff,19,2
Ashkelon,Sokolov,1,3
Nazareth,King George,14,7
Kfar Saba,Herzl,12,4
Modiin,Herzl,12,7
Netanya,King George,12,9
Rishon LeZion,Begin,14,4
Bnei Brak,Allenby,12,1
Jerusalem,Jabotinsky,8,6
Rishon LeZion,Rothschild,6,10
Petah Tikva,HaYarkon,11,9
Petah Tikva,Arlozorov,12,7
Nazareth,Herzl,3,2
Bnei Brak,HaYarkon,8,10
Rishon LeZion,Ben Gurion,9,3
Herzliya,Eshkol,2,4
Tel Aviv,Arlozorov,1,4
Kfar Saba,Allenby,7,0
Herzliya,Arlozorov,18,4
Herzliya,Arlozorov,17,3
Bnei Brak,Rothschild,9,2
Herzliya,Ben Gurion,7,5
Nazareth,Begin,11,10
Rehovot,Ben Gurion,3,3
Modiin,Allenby,1,9
Ashdod,Rabin,14,4
Rishon LeZion,Ben Gurion,15,3
Herzliya,Bialik,12,8
Herzliya,Dizengoff,19,5
Beer Sheva,Rothschild,10,9
Netanya,Rothschild,7,0
Modiin,Allenby,7,10
Ashkelon,Allenby,6,3
Tel Aviv,Sokolov,3,5
Beer Sheva,Begin,19,2
Ramat Gan,Begin,9,2
Nazareth,Ben Gurion,16,3
Kfar Saba,Begin,20,10
Bnei Brak,Herzl,14,0
Ramat Gan,Jabotinsky,3,8
Rehovot,Sokolov,8,4
Beer Sheva,HaYarkon,15,7
Petah Tikva,Arlozorov,17,2
Tel Aviv,Sokolov,17,7
Ashkelon,Rabin,8,6
Netanya,Rothschild,6,6
Kfar Saba,Ben Gurion,20,10
Beer Sheva,Rabin,8,1
Modiin,Rabin,15,5
Ashdod,King George,18,4
Herzliya,Allenby,19,8
Bnei Brak,Herzl,9,4
Rehovot,HaYarkon,15,7
Modiin,Sokolov,5,3
Rishon LeZion,Ben Gurion,4,1
Herzliya,Ben Gurion,1,9
Modiin,Herzl,10,5
Ashkelon,Allenby,8,7
Ashkelon,Jabotinsky,17,8
Ashdod,Allenby,1,8
Jerusalem,Jabotinsky,2,0
Bnei Brak,Bialik,2,9
Bnei Brak,Arlozorov,6,9
Rishon LeZion,Allenby,5,3
Bnei Brak,Rothschild,14,3
Petah Tikva,Sokolov,11,4
Herzliya,Allenby,17,1
Herzliya,Dizengoff,14,6
Modiin,Herzl,5,5
Ashdod,Allenby,11,6
Haifa,Eshkol,17,2
Tel Aviv,Arlozorov,5,6
Ashkelon,Dizengoff,4,6
Tel Aviv,Dizengoff,6,10
Ramat Gan,Ben Gurion,8,8
Jerusalem,Jabotinsky,16,2
Herzliya,Jabotinsky,10,10
Rishon LeZion,Arlozorov,12,1
Ashkelon,Allenby,7,6
Kfar Saba,Arlozorov,18,4
Tel Aviv,Bialik,1,0
Ashdod,Rothschild,5,0
Beer Sheva,Arlozorov,9,4
Netanya,King George,8,4
Kfar Saba,Sokolov,17,4
Kfar Saba,Bialik,10,0
Bnei Brak,Jabotinsky,19,9
Rishon LeZion,Rabin,4,2
Ashdod,HaYarkon,4,4
Bnei Brak,HaYarkon,6,2
Beer Sheva,Jabotinsky,19,5
Tel Aviv,Begin,20,4
Netanya,Arlozorov,17,10
Bnei Brak,Ben Gurion,16,10
Herzliya,Rabin,19,1
Beer Sheva,Jabotinsky,3,6
Herzliya,Dizengoff,9,4
Ashdod,Sokolov,4,9
Haifa,Jabotinsky,2,0
Rishon LeZion,Begin,17,0
Ramat Gan,Begin,12,1
Rishon LeZion,Herzl,18,2
Jerusalem,Begin,5,5
Ashkelon,Bialik,18,5
Bnei Brak,Dizengoff,5,3
Herzliya,Eshkol,1,2
Jerusalem,Sokolov,4,4
Ramat Gan,Jabotinsky,12,6
Netanya,Herzl,18,4
Ramat Gan,Ben Gurion,8,7
Nazareth,Ben Gurion,5,5
Haifa,Bialik,1,10
Ramat Gan,Rothschild,6,7
Bnei Brak,Dizengoff,10,1
Tel Aviv,Rothschild,7,6
Herzliya,Allenby,19,6
Herzliya,Arlozorov,3,2
Netanya,Allenby,7,7
Jerusalem,Eshkol,5,5
Haifa,Ben Gurion,4,8
Jerusalem,Jabotinsky,4,4
Rishon LeZion,Rothschild,2,3
Herzliya,Allenby,11,9
Herzliya,Eshkol,18,7
Herzliya,King George,1,0
Beer Sheva,Arlozorov,10,0
Tel Aviv,Bialik,14,5
Nazareth,Begin,1,0
Jerusalem,Rothschild,2,9
Bnei Brak,Arlozorov,5,1
Herzliya,Bialik,16,2
Beer Sheva,Begin,18,0
Bnei Brak,Begin,11,7
Bnei Brak,Rothschild,1,9
Nazareth,King George,3,8
Tel Aviv,Allenby,20,7
Kfar Saba,Sokolov,6,2
Ashkelon,Herzl,1,8
Bnei Brak,Allenby,8,0
Rishon LeZion,Eshkol,5,10
Beer Sheva,Herzl,16,8
Modiin,Allenby,9,0
Petah Tikva,Arlozorov,15,1
Tel Aviv,Eshkol,19,5
Netanya,Jabotinsky,18,10
Beer Sheva,Rabin,18,2
Tel Aviv,Ben Gurion,5,0
Modiin,King George,8,7
Beer Sheva,Eshkol,17,1
Ashdod,Ben Gurion,11,8
Beer Sheva,Arlozorov,20,0
Ramat Gan,Arlozorov,2,7
Haifa,Begin,16,2
Rishon LeZion,Sokolov,17,0
Ashkelon,Ben Gurion,17,6
Modiin,Eshkol,13,9
Nazareth,Dizengoff,2,7
Ramat Gan,Rothschild,7,3
Ashdod,Bialik,15,7
Haifa,King George,7,9
Jerusalem,Rabin,3,0
Ashkelon,Allenby,15,2
Petah Tikva,Arlozorov,15,4
Kfar Saba,Herzl,1,2
Haifa,Rabin,19,7
Modiin,Sokolov,15,3
Ramat Gan,Ben Gurion,7,0
Tel Aviv,Arlozorov,16,4
Ramat Gan,Herzl,6,9
Ramat Gan,Rothschild,16,0
Herzliya,Ben Gurion,3,1
Petah Tikva,Allenby,5,3
Ashdod,Allenby,18,1
Rehovot,HaYarkon,1,0
Haifa,Eshkol,10,2
Jerusalem,Eshkol,9,6
Modiin,Rabin,4,9
Petah Tikva,Jabotinsky,16,6
Beer Sheva,Ben Gurion,12,8
Jerusalem,Eshkol,1,9
Ashkelon,Ben Gurion,16,6
Rehovot,Herzl,4,0
Ramat Gan,Bialik,5,1
Herzliya,Herzl,14,0
Bnei Brak,Rothschild,15,0
Beer Sheva,Rabin,8,0
Ashdod,Bialik,5,8
Ramat Gan,Allenby,13,5
Rishon LeZion,Begin,18,3
Herzliya,Arlozorov,1,6
Petah Tikva,Jabotinsky,15,5
Haifa,Sokolov,5,1
Nazareth,Begin,19,8
Jerusalem,Arlozorov,2,0
Ramat Gan,Jabotinsky,2,8
Kfar Saba,Eshkol,20,7
Petah Tikva,Jabotinsky,1,8
Haifa,Ben Gurion,13,2
Haifa,Jabotinsky,15,0
Tel Aviv,HaYarkon,18,0
Ashkelon,Begin,14,2
Tel Aviv,Eshkol,5,7
Petah Tikva,Herzl,8,8
Beer Sheva,Eshkol,10,0
Modiin,Jabotinsky,5,6
Nazareth,Begin,18,7
Jerusalem,Dizengoff,12,9
Kfar Saba,Rothschild,11,1
Ramat Gan,Rabin,2,4
Ashdod,Eshkol,12,8
Beer Sheva,Allenby,16,9
Rehovot,Rothschild,20,7
Ramat Gan,Eshkol,20,8
Ashkelon,Dizengoff,5,7
Modiin,Allenby,20,6
Modiin,Jabotinsky,18,7
Petah Tikva,Allenby,16,3
Rishon LeZion,King George,11,3
Bnei Brak,Rabin,12,1
Herzliya,Ben Gurion,19,6
Bnei Brak,HaYarkon,6,8
Beer Sheva,Bialik,12,4
Ashdod,Eshkol,3,6
Rehovot,Begin,13,6
Beer Sheva,Allenby,17,9
Petah Tikva,Sokolov,1,0
Tel Aviv,Sokolov,16,5
Ashkelon,Jabotinsky,12,2
Modiin,Bialik,14,0
Ashdod,Rothschild,15,0
Rishon LeZion,Dizengoff,12,10
Petah Tikva,Bialik,11,5
Haifa,Arlozorov,15,7
Jerusalem,Herzl,7,6
Nazareth,Begin,17,7
Ramat Gan,Eshkol,1,2
Nazareth,Jabotinsky,10,0
Ashdod,Sokolov,16,2
Haifa,Bialik,3,1
Jerusalem,Begin,10,3
Tel Aviv,Rothschild,14,1
Modiin,Herzl,12,0
Netanya,Bialik,20,0
Ashkelon,Ben Gurion,9,10
Ramat Gan,Rabin,1,4
Modiin,Jabotinsky,9,8
Nazareth,Dizengoff,1,6
Bnei Brak,Allenby,13,0
Tel Aviv,Arlozorov,10,4
Petah Tikva,King George,11,1
Tel Aviv,HaYarkon,1,0
Rehovot,Rothschild,13,3
Tel Aviv,Allenby,1,8
Nazareth,Allenby,4,0
Netanya,Dizengoff,9,10
Ramat Gan,Begin,19,1
Haifa,Arlozorov,13,7
Netanya,HaYarkon,14,3
Rishon LeZion,Ben Gurion,15,2
Modiin,Sokolov,8,0
Rishon LeZion,Arlozorov,14,6
Jerusalem,Sokolov,2,1
Ashkelon,King George,13,9
Ashdod,Eshkol,12,3
Bnei Brak,Ben Gurion,4,6
Nazareth,Dizengoff,17,0
Netanya,King George,19,4
Herzliya,Eshkol,19,6
Rishon LeZion,Rabin,11,1
Rishon LeZion,Bialik,15,9
Nazareth,Rabin,11,10
Netanya,Rothschild,8,2
Haifa,Eshkol,18,1
Ramat Gan,Herzl,1,7
Modiin,Rabin,1,0
Rishon LeZion,Bialik,1,9
Ashkelon,Bialik,20,4
Jerusalem,Eshkol,11,9
Ashdod,Sokolov,7,5
Beer Sheva,Rabin,1,8
Ramat Gan,King George,13,4
Haifa,HaYarkon,9,0
Modiin,Herzl,1,9
Haifa,Eshkol,6,4
Ashdod,Rothschild,6,6
Tel Aviv,King George,14,3
Modiin,Rabin,5,8
Petah Tikva,Herzl,2,8
Modiin,Sokolov,13,8
Nazareth,Eshkol,6,10
Haifa,Jabotinsky,18,1
Ashkelon,Sokolov,1,10
Petah Tikva,Allenby,7,3
Jerusalem,Rothschild,3,0
Herzliya,Dizengoff,14,10
Herzliya,Bialik,19,8
Petah Tikva,Rothschild,1,2
Tel Aviv,Jabotinsky,20,4
Netanya,Ben Gurion,2,1
Nazareth,Begin,6,6
Kfar Saba,Sokolov,13,6
Rishon LeZion,Herzl,2,9
Nazareth,Bialik,9,6
Nazareth,HaYarkon,20,9
Jerusalem,Rabin,16,8
Kfar Saba,Eshkol,6,9
Kfar Saba,Bialik,13,10
Haifa,Ben Gurion,16,6
Nazareth,HaYarkon,18,4
Rishon LeZion,Sokolov,11,0
Ashkelon,King George,6,8
Ashdod,Rabin,16,0
Ashdod,Rabin,5,1
Ashkelon,Rabin,14,1
Kfar Saba,King George,19,1
Netanya,King George,2,2
Beer Sheva,Sokolov,11,7
Modiin,Begin,8,0
Beer Sheva,HaYarkon,6,9
Nazareth,Herzl,7,1
Beer Sheva,Eshkol,8,1
Ramat Gan,Sokolov,13,5
Bnei Brak,Rabin,5,2
Rishon LeZion,Arlozorov,14,8
Beer Sheva,Herzl,5,8
Ramat Gan,Bialik,4,2
Rehovot,Begin,12,6
Ashkelon,Begin,19,7
Herzliya,Arlozorov,10,10
Rishon LeZion,Bialik,14,8
Beer Sheva,Allenby,4,4
Jerusalem,Allenby,8,6
Ramat Gan,Rothschild,12,4
Jerusalem,Allenby,13,10
Netanya,Herzl,7,6
Ashdod,Arlozorov,12,1
Bnei Brak,Rabin,3,7
Ashdod,Allenby,13,6
Nazareth,Rabin,14,3
Nazareth,Herzl,17,8
Herzliya,Allenby,9,4
Rehovot,Herzl,7,5
Petah Tikva,Herzl,18,7
Petah Tikva,Arlozorov,16,0
Petah Tikva,Allenby,1,4
Tel Aviv,Herzl,6,1
Netanya,Rothschild,10,1
Bnei Brak,King George,4,5
Ashkelon,Eshkol,10,3
Jerusalem,Rothschild,10,10
Beer Sheva,Jabotinsky,16,1
Haifa,King George,7,5
Beer Sheva,Allenby,12,9
Rehovot,Arlozorov,19,2
Bnei Brak,Ben Gurion,5,1
Ashkelon,Begin,12,4
Haifa,King George,5,8
Tel Aviv,Arlozorov,1,2
Nazareth,King George,17,7
Netanya,Bialik,3,4
Tel Aviv,Sokolov,12,2
Rehovot,HaYarkon,8,1
Beer Sheva,Dizengoff,18,1
Bnei Brak,Herzl,5,0
Ashkelon,Herzl,1,7
Beer Sheva,Eshkol,9,1
Haifa,Rabin,20,9
Rehovot,King George,2,8
Rehovot,Dizengoff,3,0
Netanya,Ben Gurion,4,6
Netanya,Dizengoff,19,7
Modiin,Rothschild,17,9
Rehovot,Arlozorov,12,3
Netanya,Bialik,7,0
Ramat Gan,Jabotinsky,13,0
Nazareth,Begin,3,1
Rehovot,Ben Gurion,7,1
Petah Tikva,Dizengoff,18,2
Ramat Gan,Arlozorov,12,0
Kfar Saba,Sokolov,3,2
Ashdod,HaYarkon,18,3
Rehovot,Bialik,20,3
Beer Sheva,King George,20,6
Ashkelon,Sokolov,18,9
Haifa,King George,18,8
Beer Sheva,HaYarkon,20,6
Ashdod,Arlozorov,14,4
Nazareth,Rothschild,16,0
Petah Tikva,Ben Gurion,10,10
Herzliya,Rabin,18,3
Ashkelon,Dizengoff,4,2
Netanya,Bialik,19,8
Herzliya,Jabotinsky,11,6
Beer Sheva,Arlozorov,5,6
Ashdod,Rabin,4,6
Ramat Gan,King George,6,8
Nazareth,Bialik,20,10
Nazareth,King George,20,0
Netanya,Jabotinsky,10,9
Bnei Brak,Rabin,20,3
Modiin,HaYarkon,1,8
Petah Tikva,Eshkol,15,3
Modiin,Ben Gurion,6,6
Haifa,Bialik,12,7
Kfar Saba,Rothschild,15,10
Herzliya,Bialik,7,4
Rehovot,Sokolov,19,9
Haifa,Eshkol,13,9
Ashkelon,Dizengoff,11,8
Beer Sheva,Herzl,10,0
Rishon LeZion,Allenby,16,7
Nazareth,Herzl,3,7
Rishon LeZion,Eshkol,3,7
Haifa,Jabotinsky,1,0
Nazareth,Herzl,17,3
Ramat Gan,Begin,15,2
Netanya,Herzl,11,9
Rehovot,Ben Gurion,4,5
Haifa,Ben Gurion,10,4
Modiin,Jabotinsky,5,8
Jerusalem,Allenby,20,2
Beer Sheva,Ben Gurion,7,2
Rehovot,Allenby,18,2
Petah Tikva,Rabin,1,5
Rishon LeZion,Herzl,19,9
Ashkelon,Arlozorov,14,4
Bnei Brak,Dizengoff,16,10
Ramat Gan,Eshkol,12,0
Tel Aviv,Arlozorov,12,0
Modiin,Rabin,15,9
Herzliya,Rothschild,13,1
Nazareth,HaYarkon,18,10
Nazareth,Arlozorov,1,4
Bnei Brak,Eshkol,17,1
Netanya,Dizengoff,5,10
Kfar Saba,Herzl,11,0
Rehovot,Bialik,13,6
Nazareth,Rothschild,10,7
Jerusalem,Rabin,1,1
Rishon LeZion,Herzl,18,0
Tel Aviv,Herzl,2,5
Haifa,Sokolov,20,1
Haifa,Rothschild,2,0
Petah Tikva,Begin,4,5
Haifa,Herzl,2,10
Herzliya,Begin,7,5
Rehovot,Bialik,14,0
Petah Tikva,Rothschild,1,6
Rehovot,Arlozorov,9,9
Rehovot,Herzl,18,2
Nazareth,Eshkol,9,4
Herzliya,HaYarkon,18,0
Herzliya,Arlozorov,9,5
Jerusalem,Sokolov,11,9
Rehovot,Bialik,11,4
Haifa,King George,11,3
Haifa,Eshkol,14,4
Jerusalem,Sokolov,6,0
Rishon LeZion,Dizengoff,6,10
Bnei Brak,Herzl,19,6
Rishon LeZion,Sokolov,9,7
Rehovot,Dizengoff,3,5
Petah Tikva,Dizengoff,6,0
Netanya,Dizengoff,19,1
Rishon LeZion,HaYarkon,12,1
Nazareth,Dizengoff,9,10
Netanya,Herzl,2,3
Ramat Gan,Herzl,10,3
Rishon LeZion,King George,11,2
Haifa,King George,5,0
Haifa,Rothschild,8,7
Rehovot,Herzl,11,5
Haifa,Jabotinsky,16,5
Ashdod,Begin,16,7
Rishon LeZion,Allenby,10,6
Haifa,Rabin,6,8
Haifa,Herzl,20,7
Ramat Gan,HaYarkon,6,4
Modiin,Rothschild,7,9
Haifa,Bialik,6,8
Modiin,Sokolov,18,8
Nazareth,Eshkol,12,8
Rehovot,Jabotinsky,5,3
Ramat Gan,HaYarkon,17,10
Herzliya,Bialik,4,6
Jerusalem,Jabotinsky,2,10
Beer Sheva,Herzl,19,10
Ashdod,Sokolov,18,1
Ashkelon,Ben Gurion,10,10
Ramat Gan,Sokolov,8,5
Petah Tikva,Eshkol,4,8
Ashkelon,Dizengoff,3,9
Haifa,Allenby,18,0
Tel Aviv,Allenby,19,5
Petah Tikva,Jabotinsky,16,4
Rishon LeZion,Dizengoff,8,4
Nazareth,Bialik,15,8
Haifa,Arlozorov,15,4
Haifa,Eshkol,8,3
Ashkelon,Rothschild,5,0
Beer Sheva,Ben Gurion,2,9
Petah Tikva,Bialik,20,1
Petah Tikva,Herzl,13,7
Ramat Gan,Bialik,16,9
Netanya,Arlozorov,18,8
Bnei Brak,King George,7,4
Kfar Saba,Jabotinsky,4,6
Beer Sheva,King George,3,6
Petah Tikva,HaYarkon,7,7
Tel Aviv,Sokolov,1,2
Petah Tikva,Sokolov,9,3
Ramat Gan,Eshkol,14,7
Rishon LeZion,Arlozorov,14,9
Tel Aviv,Dizengoff,12,7
Ramat Gan,Begin,7,4
Haifa,Herzl,15,10
Jerusalem,Jabotinsky,3,10
Jerusalem,HaYarkon,4,7
Beer Sheva,Begin,16,1
Jerusalem,Arlozorov,7,9
Tel Aviv,Allenby,14,1
Ashkelon,Jabotinsky,18,4
Modiin,King George,9,2
Kfar Saba,HaYarkon,19,5
Modiin,Sokolov,7,0
Rishon LeZion,Jabotinsky,9,1
Ashkelon,Jabotinsky,5,9
Ramat Gan,Begin,13,0
Kfar Saba,Bialik,14,6
Ramat Gan,Begin,13,2
Kfar Saba,Rabin,3,7
Modiin,Rabin,16,10
Nazareth,Rabin,11,8
Ramat Gan,Begin,13,3
Herzliya,King George,14,6
Herzliya,Jabotinsky,10,8
Haifa,Herzl,20,2
Rishon LeZion,Rothschild,11,1
Modiin,Eshkol,16,5
Ashdod,Allenby,19,6
Petah Tikva,King George,16,3
Rehovot,Ben Gurion,15,5
Nazareth,HaYarkon,4,6
Modiin,HaYarkon,8,3
Rishon LeZion,HaYarkon,13,5
Ashkelon,Allenby,12,4
Nazareth,Ben Gurion,19,2
Petah Tikva,Begin,2,0
Netanya,Herzl,15,8
Rehovot,Ben Gurion,4,1
Ashkelon,Bialik,7,6
Ashdod,Ben Gurion,6,3
Ashdod,Rothschild,4,7
Nazareth,Bialik,8,5
Nazareth,Allenby,20,3
Haifa,HaYarkon,18,3
Ramat Gan,Bialik,2,9
Jerusalem,Allenby,2,0
Modiin,Dizengoff,1,5
Haifa,Herzl,12,1
Ramat Gan,Allenby,12,0
Tel Aviv,Jabotinsky,19,7
Ashkelon,Dizengoff,11,4
Rehovot,Begin,20,7
Petah Tikva,King George,8,6
Herzliya,Herzl,12,7
Bnei Brak,Begin,20,6
Ramat Gan,Rabin,2,6
Petah Tikva,Allenby,2,8
Jerusalem,Rabin,13,5
Petah Tikva,Allenby,10,10
Ashkelon,Eshkol,10,2
Haifa,Ben Gurion,4,3
Ramat Gan,Ben Gurion,10,7
Ashdod,Begin,12,3
Haifa,Arlozorov,7,2
Ashkelon,Allenby,3,5
Kfar Saba,King George,17,6
Ashkelon,HaYarkon,12,5
Ashkelon,Allenby,4,2
Beer Sheva,Allenby,10,3
Ashkelon,Arlozorov,16,2
Petah Tikva,Herzl,1,1
Rishon LeZion,Begin,13,10
Ashkelon,Allenby,15,0
Herzliya,HaYarkon,5,9
Bnei Brak,Sokolov,4,2
Tel Aviv,Rabin,2,7
Jerusalem,Begin,14,2
Jerusalem,Begin,7,7
Nazareth,Rabin,3,7
Modiin,Jabotinsky,2,4
Rishon LeZion,Bialik,19,7
Petah Tikva,Allenby,18,9
Ashdod,Rabin,9,10
Ashkelon,Bialik,2,1
Ashdod,Begin,16,9
Jerusalem,Jabotinsky,13,2
Bnei Brak,Jabotinsky,11,0
Haifa,Rothschild,6,1
Tel Aviv,Begin,19,5
Rehovot,Rabin,6,8
Tel Aviv,Rothschild,15,1
Jerusalem,Eshkol,1,0
Modiin,HaYarkon,3,6
Rishon LeZion,Begin,13,0
Ashkelon,Jabotinsky,2,3
Kfar Saba,Herzl,5,3
Nazareth,Arlozorov,18,7
Ashdod,Arlozorov,4,4
Modiin,Eshkol,2,9
Rishon LeZion,Bialik,3,0
Ramat Gan,Allenby,4,3
Petah Tikva,Arlozorov,11,8
Netanya,Dizengoff,7,0
Petah Tikva,Ben Gurion,5,10
Rishon LeZion,Allenby,3,1
Jerusalem,King George,11,9
Haifa,Rothschild,19,9
Nazareth,King George,3,10
Petah Tikva,Rothschild,12,2
Nazareth,Begin,20,4
Kfar Saba,Arlozorov,8,0
Tel Aviv,Ben Gurion,8,7
Beer Sheva,Arlozorov,3,1
Kfar Saba,Arlozorov,11,6
Herzliya,Ben Gurion,9,4
Petah Tikva,Bialik,12,3
Bnei Brak,Jabotinsky,3,3
Ashdod,Arlozorov,20,6
Nazareth,Allenby,16,10
Petah Tikva,Ben Gurion,10,4
Nazareth,Ben Gurion,17,6
Rehovot,Eshkol,19,3
Nazareth,Jabotinsky,4,5
Kfar Saba,Bialik,14,9
Ashkelon,Arlozorov,10,2
Herzliya,Ben Gurion,7,2
Rehovot,Bialik,15,1
Nazareth,Sokolov,20,5
Beer Sheva,Rabin,14,1
Modiin,Allenby,18,1
Tel Aviv,Ben Gurion,5,10
Ashdod,Herzl,10,2
Beer Sheva,Begin,3,10
Kfar Saba,Rabin,6,5
Petah Tikva,King George,10,2
Kfar Saba,Rothschild,18,6
Netanya,Arlozorov,9,5
Jerusalem,Ben Gurion,7,5
Petah Tikva,Sokolov,14,7
Tel Aviv,Begin,2,6
Ashkelon,Rabin,7,4
Jerusalem,Begin,4,2
Ramat Gan,Rothschild,19,8
Bnei Brak,HaYarkon,5,3
Haifa,Arlozorov,12,0
Jerusalem,Allenby,4,8
Haifa,Begin,15,8
Rishon LeZion,Eshkol,13,1
Tel Aviv,Allenby,14,3
Ramat Gan,Rothschild,7,6
Rishon LeZion,Dizengoff,12,7
Petah Tikva,HaYarkon,15,0
Ramat Gan,Allenby,1,6
Nazareth,Begin,7,2
Haifa,Eshkol,9,7
Rehovot,Arlozorov,11,2
Jerusalem,King George,13,3
Petah Tikva,Dizengoff,12,1
Modiin,Begin,12,0
Rishon LeZion,Jabotinsky,2,9
Jerusalem,Herzl,16,8
Haifa,Allenby,19,1
Ashkelon,Allenby,14,10
Petah Tikva,Sokolov,1,10
Tel Aviv,Rothschild,10,5
Tel Aviv,Rothschild,6,7
Modiin,Begin,5,5
Tel Aviv,Bialik,16,7
Ashkelon,Dizengoff,6,9
Modiin,Herzl,14,8
Rishon LeZion,Rothschild,16,1
Herzliya,Sokolov,10,0
Beer Sheva,Arlozorov,10,5
Ashdod,Eshkol,8,7
Netanya,Eshkol,11,4
Tel Aviv,Rabin,2,3
Jerusalem,Jabotinsky,16,5
Ashdod,Jabotinsky,10,0
Rehovot,Jabotinsky,6,0
Modiin,Rothschild,8,10
Rehovot,Jabotinsky,6,9
Haifa,Rothschild,14,0
Ashdod,Dizengoff,1,1
Jerusalem,Ben Gurion,19,10
Herzliya,Dizengoff,6,6
Ashkelon,Bialik,1,7
Haifa,Jabotinsky,15,7
Petah Tikva,Begin,8,1
Rishon LeZion,Dizengoff,3,10
Petah Tikva,Dizengoff,11,1
Rehovot,Rothschild,5,7
Herzliya,Sokolov,12,9
Rishon LeZion,Eshkol,16,0
Petah Tikva,Eshkol,4,5
Rehovot,Dizengoff,11,5
Herzliya,Arlozorov,15,0
Bnei Brak,Rothschild,15,6
Rishon LeZion,Bialik,1,4
Beer Sheva,Dizengoff,7,3
Beer Sheva,Herzl,17,9
Modiin,Ben Gurion,11,7
Jerusalem,Allenby,12,6
Haifa,King George,1,1
Rishon LeZion,King George,9,9
Rishon LeZion,Begin,20,4
Rehovot,Allenby,10,2
Ramat Gan,Dizengoff,2,0
Ashkelon,Begin,14,10
Modiin,Eshkol,4,7
Rehovot,Allenby,17,4
Ramat Gan,Ben Gurion,12,2
Tel Aviv,Bialik,15,4
Tel Aviv,Arlozorov,6,10
Tel Aviv,Herzl,14,0
Rishon LeZion,Rothschild,8,9
Rehovot,Bialik,9,9
Rishon LeZion,Rabin,9,9
Tel Aviv,Begin,7,9
Herzliya,Dizengoff,18,8
Nazareth,HaYarkon,13,10
Kfar Saba,Eshkol,20,9
